更新时间: 2026-02-04 13:02:35（北京时间）

更新时间,#genre#
2026-02-04 13:02:35,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV-8电视剧,http://211.158.153.37:8001/rtp/225.0.4.137:7980$四川联通
CCTV-8电视剧,http://211.158.153.37:8001/rtp/225.0.4.163:7980$四川联通
CCTV-9纪录,http://111.193.239.94:8888/rtp/239.3.1.62:8112$北京市联通
CCTV-9纪录,http://171.8.194.206:8800/rtp/239.16.20.9:10090$河南电信
CCTV-9纪录,http://211.158.153.37:8003/rtp/225.0.4.131:7980$四川联通
CCTV-9纪录,http://111.113.89.184:2000/rtp/239.121.4.157:8926$宁夏电信
CCTV-9纪录,http://222.83.161.177:9003/rtp/239.81.0.117:4056$广西电信
CCTV-9纪录,http://171.83.96.76:8004/rtp/239.69.1.104:10262$湖北电信
CCTV-9纪录,http://123.114.99.216:4022/rtp/239.3.1.62:8112$北京市联通
CCTV-9纪录,http://211.158.153.37:8002/rtp/225.0.4.131:7980$四川联通
CCTV-9纪录,http://192.144.185.155:6000/rtp/225.1.8.9:8112$北京市电信
CCTV-9纪录,http://112.255.80.180:4000/udp/239.253.254.79:8000$山东联通
CCTV-9纪录,http://123.112.240.132:5555/rtp/239.3.1.62:8112$北京市联通
CCTV-9纪录,http://211.158.153.37:8001/rtp/225.0.4.131:7980$四川联通
CCTV-10科教,http://111.193.239.94:8888/rtp/239.3.1.63:8116$北京市联通
CCTV-10科教,http://171.8.194.206:8800/rtp/239.16.20.10:10100$河南电信
CCTV-10科教,http://211.158.153.37:8003/rtp/225.0.4.130:7980$四川联通
CCTV-10科教,http://111.113.89.184:2000/rtp/239.121.4.158:8932$宁夏电信
CCTV-10科教,http://222.83.161.177:9003/rtp/239.81.0.118:4056$广西电信
CCTV-10科教,http://171.83.96.76:8004/rtp/239.69.1.105:10268$湖北电信
CCTV-10科教,http://123.114.99.216:4022/rtp/239.3.1.63:8116$北京市联通
CCTV-10科教,http://211.158.153.37:8002/rtp/225.0.4.130:7980$四川联通
CCTV-10科教,http://192.144.185.155:6000/rtp/225.1.8.10:8116$北京市电信
CCTV-10科教,http://112.255.80.180:4000/udp/239.253.254.234:8000$山东联通
CCTV-10科教,http://123.112.240.132:5555/rtp/239.3.1.63:8116$北京市联通
CCTV-10科教,http://211.158.153.37:8001/rtp/225.0.4.130:7980$四川联通
CCTV-11戏曲,http://111.193.239.94:8888/rtp/239.3.1.152:8120$北京市联通
CCTV-11戏曲,http://171.8.194.206:8800/rtp/239.16.20.11:10110$河南电信
CCTV-11戏曲,http://211.158.153.37:8003/rtp/225.0.4.218:7980$四川联通
CCTV-11戏曲,http://111.113.89.184:2000/rtp/239.121.4.150:9202$宁夏电信
CCTV-11戏曲,http://222.83.161.177:9003/rtp/239.81.0.229:4056$广西电信
CCTV-11戏曲,http://171.83.96.76:8004/rtp/239.69.1.154:10560$湖北电信
CCTV-11戏曲,http://123.114.99.216:4022/rtp/239.3.1.152:8120$北京市联通
CCTV-11戏曲,http://211.158.153.37:8002/rtp/225.0.4.218:7980$四川联通
CCTV-11戏曲,http://192.144.185.155:6000/rtp/225.1.8.73:8120$北京市电信
CCTV-11戏曲,http://112.255.80.180:4000/udp/239.253.254.169:8000$山东联通
CCTV-11戏曲,http://123.112.240.132:5555/rtp/239.3.1.152:8120$北京市联通
CCTV-11戏曲,http://211.158.153.37:8001/rtp/225.0.4.218:7980$四川联通
CCTV-12社会与法,http://111.193.239.94:8888/rtp/239.3.1.64:8124$北京市联通
CCTV-12社会与法,http://171.8.194.206:8800/rtp/239.16.20.12:10120$河南电信
CCTV-12社会与法,http://211.158.153.37:8003/rtp/225.0.4.129:7980$四川联通
CCTV-12社会与法,http://111.113.89.184:2000/rtp/239.121.4.159:8938$宁夏电信
CCTV-12社会与法,http://222.83.161.177:9003/rtp/239.81.0.119:4056$广西电信
CCTV-12社会与法,http://171.83.96.76:8004/rtp/239.69.1.106:10274$湖北电信
CCTV-12社会与法,http://123.114.99.216:4022/rtp/239.3.1.64:8124$北京市联通
CCTV-12社会与法,http://211.158.153.37:8002/rtp/225.0.4.129:7980$四川联通
CCTV-12社会与法,http://192.144.185.155:6000/rtp/225.1.8.12:8124$北京市电信
CCTV-12社会与法,http://112.255.80.180:4000/udp/239.253.254.235:8000$山东联通
CCTV-12社会与法,http://123.112.240.132:5555/rtp/239.3.1.64:8124$北京市联通
CCTV-12社会与法,http://211.158.153.37:8001/rtp/225.0.4.129:7980$四川联通
CCTV-13新闻,http://111.193.239.94:8888/rtp/239.3.1.124:8128$北京市联通
CCTV-13新闻,http://171.8.194.206:8800/rtp/239.16.20.13:10130$河南电信
CCTV-13新闻,http://211.158.153.37:8003/rtp/225.0.4.219:7980$四川联通
CCTV-13新闻,http://111.113.89.184:2000/rtp/239.121.4.13:8028$宁夏电信
CCTV-13新闻,http://222.83.161.177:9003/rtp/239.81.0.206:4056$广西电信
CCTV-13新闻,http://171.83.96.76:8004/rtp/239.254.96.161:9040$湖北电信
CCTV-13新闻,http://123.114.99.216:4022/rtp/239.3.1.124:8128$北京市联通
CCTV-13新闻,http://211.158.153.37:8002/rtp/225.0.4.219:7980$四川联通
CCTV-13新闻,http://192.144.185.155:6000/rtp/225.1.8.168:8130$北京市电信
CCTV-13新闻,http://112.255.80.180:4000/udp/239.253.254.175:8000$山东联通
CCTV-13新闻,http://123.112.240.132:5555/rtp/239.3.1.124:8128$北京市联通
CCTV-13新闻,http://211.158.153.37:8001/rtp/225.0.4.219:7980$四川联通
CCTV-14少儿,http://111.193.239.94:8888/rtp/239.3.1.65:8132$北京市联通
CCTV-14少儿,http://171.8.194.206:8800/rtp/239.16.20.14:10140$河南电信
CCTV-14少儿,http://211.158.153.37:8003/rtp/225.0.4.128:7980$四川联通
CCTV-14少儿,http://111.113.89.184:2000/rtp/239.121.4.160:8944$宁夏电信
CCTV-14少儿,http://222.83.161.177:9003/rtp/239.81.0.120:4056$广西电信
CCTV-14少儿,http://171.83.96.76:8004/rtp/239.69.1.107:10280$湖北电信
CCTV-14少儿,http://123.114.99.216:4022/rtp/239.3.1.65:8132$北京市联通
CCTV-14少儿,http://211.158.153.37:8002/rtp/225.0.4.128:7980$四川联通
CCTV-14少儿,http://192.144.185.155:6000/rtp/225.1.8.14:8132$北京市电信
CCTV-14少儿,http://112.255.80.180:4000/udp/239.253.254.236:8000$山东联通
CCTV-14少儿,http://123.112.240.132:5555/rtp/239.3.1.65:8132$北京市联通
CCTV-14少儿,http://211.158.153.37:8001/rtp/225.0.4.128:7980$四川联通
CCTV-15音乐,http://111.193.239.94:8888/rtp/239.3.1.153:8136$北京市联通
CCTV-15音乐,http://171.8.194.206:8800/rtp/239.16.20.15:10150$河南电信
CCTV-15音乐,http://211.158.153.37:8003/rtp/225.0.4.220:7980$四川联通
CCTV-15音乐,http://111.113.89.184:2000/rtp/239.121.4.202:9208$宁夏电信
